failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_189_normalized,smart_194_normalized,smart_197_normalized,smart_197_raw
0,0.777777778,-0.777777778,1,-1,0.925925926,-0.481481481,1,1,-0.692307692,1,-1
0,0.851851852,-0.555555556,1,-1,0.962962963,-0.555555556,1,1,-0.538461538,1,-1
0,0.62962963,-0.555555556,1,-1,0.888888889,-0.518518519,1,1,-0.653846154,1,-1
0,0.925925926,-0.777777778,1,-1,0.62962963,-0.407407407,1,1,-0.692307692,1,-1
0,0.555555556,-0.777777778,1,-1,0.666666667,-0.37037037,1,1,-0.461538462,1,-1
0,0.111111111,-0.555555556,1,-1,0.962962963,-0.703703704,1,1,-0.769230769,1,-1
0,0.555555556,0.111111111,1,-1,0.481481481,-0.777777778,1,1,-0.730769231,1,-1
0,-0.111111111,-0.555555556,1,-1,0.888888889,-0.592592593,0.818181818,1,-0.692307692,1,-0.99877511
0,0.407407407,-0.555555556,1,-1,0.925925926,-0.740740741,1,1,-0.769230769,1,-1
0,0.777777778,-0.333333333,1,-1,0.703703704,-0.37037037,1,1,-0.5,1,-1
0,0.925925926,-0.555555556,1,-1,0.888888889,-0.592592593,1,1,-0.538461538,1,-1
0,0.555555556,-0.555555556,1,-1,0.888888889,-0.555555556,1,1,-0.730769231,1,-1
0,0.851851852,-0.555555556,1,-1,0.888888889,-0.518518519,1,1,-0.692307692,1,-1
0,0.851851852,-0.777777778,1,-1,0.814814815,-0.407407407,1,1,-0.769230769,1,-1
0,1,-0.333333333,1,-1,0.888888889,-0.555555556,1,1,-0.423076923,1,-1
0,0.777777778,-0.555555556,1,-0.999724252,0.888888889,-0.777777778,0.717171717,1,-0.884615385,1,-1
0,0.481481481,-0.555555556,1,-1,0.814814815,-0.37037037,0.939393939,1,-0.730769231,1,-1
0,0.925925926,-0.555555556,1,-1,0.814814815,-0.481481481,1,1,-0.769230769,1,-1
0,0.925925926,-0.777777778,1,-1,0.962962963,-0.444444444,1,1,-0.769230769,1,-1
0,0.777777778,-0.555555556,1,-1,0.962962963,-0.481481481,1,1,-0.846153846,1,-1
0,0.851851852,-0.111111111,1,-1,0.814814815,-0.407407407,0.97979798,1,-0.653846154,1,-1
0,0.777777778,-0.555555556,1,-1,0.962962963,-0.703703704,1,1,-0.846153846,1,-1
0,0.777777778,-0.555555556,1,-1,0.888888889,-0.62962963,1,1,-0.384615385,1,-1
0,0.925925926,-0.777777778,1,-1,1,-0.481481481,1,1,-0.807692308,1,-1
0,0.703703704,-0.555555556,1,-1,0.888888889,-0.555555556,1,1,-0.538461538,1,-1
0,0.407407407,0.111111111,1,-1,0.888888889,-0.62962963,1,1,-0.884615385,1,-1
0,0.555555556,-0.111111111,1,-1,0.888888889,-0.62962963,1,1,-0.769230769,1,-1
0,0.777777778,-0.111111111,1,-1,0.592592593,-0.407407407,0.97979798,1,-0.423076923,1,-1
0,0.333333333,-0.111111111,1,-1,0.777777778,-0.407407407,1,1,-0.653846154,1,-1
0,0.777777778,-0.555555556,1,-1,0.777777778,-0.407407407,1,1,-0.769230769,1,-1
0,0.777777778,-0.777777778,1,-1,0.740740741,-0.37037037,0.95959596,1,-0.615384615,1,-1
0,0.851851852,-0.111111111,1,-1,0.925925926,-0.555555556,1,1,-0.5,1,-1
0,0.851851852,-0.333333333,1,-1,0.814814815,-0.444444444,1,1,-0.692307692,1,-1
0,0.703703704,-0.555555556,1,-1,0.888888889,-0.555555556,1,1,-0.346153846,1,-1
0,0.925925926,-0.555555556,1,-1,0.888888889,-0.666666667,1,1,-0.692307692,1,-1
0,0.925925926,-0.777777778,1,-1,0.925925926,-0.518518519,1,1,-0.807692308,1,-1
0,0.407407407,0.333333333,1,-1,0.814814815,-0.37037037,1,1,0,1,-1
0,0.703703704,-0.555555556,1,-1,0.555555556,-0.481481481,1,1,-0.653846154,1,-1
0,0.851851852,-0.777777778,1,-1,0.888888889,-0.518518519,0.97979798,1,-0.846153846,1,-1
0,0.777777778,-0.333333333,1,-1,0.814814815,-0.407407407,1,1,-0.730769231,1,-1
0,0.333333333,-0.333333333,1,-1,0.925925926,-0.666666667,1,1,-0.961538462,1,-1
0,0.555555556,-0.333333333,1,-1,0.888888889,-0.666666667,1,1,-0.769230769,1,-1
0,0.62962963,-0.555555556,1,-1,0.888888889,-0.592592593,1,1,-0.538461538,1,-1
0,0.259259259,-0.777777778,1,-1,0.814814815,-0.481481481,1,1,-0.576923077,1,-1
0,0.333333333,0.555555556,1,-1,0.62962963,-0.333333333,1,1,-0.384615385,1,-1
0,0.777777778,-0.777777778,1,-1,0.814814815,-0.481481481,1,1,-0.615384615,1,-1
0,-0.111111111,-0.555555556,1,-1,0.925925926,-0.592592593,1,1,-0.423076923,1,-1
0,0.111111111,-0.555555556,1,-1,0.888888889,-0.62962963,1,1,-0.5,1,-1
0,-0.481481481,-0.555555556,1,-1,0.888888889,-0.62962963,0.858585859,1,-0.346153846,1,-1
0,0.333333333,-0.555555556,1,-1,0.851851852,-0.481481481,1,1,-0.653846154,1,-1
0,0.925925926,-0.777777778,1,-1,0.925925926,-0.518518519,1,1,-0.692307692,1,-1
0,0.777777778,-0.555555556,1,-1,0.777777778,-0.407407407,0.939393939,1,-0.461538462,1,-1
0,0.703703704,-0.333333333,1,-1,0.925925926,-0.777777778,1,1,-0.846153846,1,-1
0,0.111111111,0.333333333,1,-1,0.777777778,-0.481481481,1,1,-0.576923077,1,-1
0,0.851851852,-0.111111111,1,-1,0.888888889,-0.666666667,1,1,-0.769230769,1,-1
0,0.777777778,0.111111111,1,-1,0.777777778,-0.481481481,1,1,-0.576923077,1,-1
0,0.555555556,-0.111111111,1,-1,0.814814815,-0.481481481,1,1,-0.730769231,1,-1
0,0.703703704,-0.333333333,1,-1,0.962962963,-0.62962963,1,1,-0.615384615,1,-1
0,0.777777778,0.111111111,1,-1,0.777777778,-0.37037037,1,1,-0.153846154,1,-1
0,0.851851852,-0.555555556,1,-1,0.925925926,-0.703703704,1,1,-0.769230769,1,-1
0,0.925925926,0.111111111,1,-1,0.814814815,-0.666666667,1,1,-0.884615385,1,-1
0,0.62962963,-0.555555556,1,-1,0.851851852,-0.444444444,1,1,-0.769230769,1,-1
0,0.851851852,-0.555555556,1,-1,0.888888889,-0.555555556,1,1,-0.769230769,1,-1
0,0.851851852,-0.111111111,1,-1,0.925925926,-0.62962963,1,1,-0.769230769,1,-1
0,0.333333333,-0.555555556,1,-1,0.925925926,-0.62962963,1,1,-0.653846154,1,-1
0,0.925925926,-0.777777778,1,-1,0.555555556,-0.222222222,1,1,-0.153846154,1,-1
0,0.925925926,-0.777777778,1,-1,0.962962963,-0.444444444,1,1,-0.730769231,1,-1
0,1,-0.555555556,1,-1,0.888888889,-0.62962963,1,1,-0.730769231,1,-1
0,0.851851852,-0.555555556,1,-1,0.814814815,-0.444444444,1,1,-0.730769231,1,-1
0,0.777777778,-0.777777778,1,-1,0.962962963,-0.62962963,1,1,-0.692307692,1,-1
0,0.777777778,0.333333333,1,-1,0.851851852,-0.481481481,1,1,-0.653846154,1,-1
0,0.333333333,-0.777777778,1,-1,0.777777778,-0.407407407,1,1,-0.615384615,1,-1
0,-0.111111111,-0.555555556,1,-1,0.777777778,-0.407407407,1,1,-0.615384615,1,-1
0,0.777777778,0.333333333,1,-1,0.814814815,-0.481481481,1,1,-0.615384615,1,-1
0,0.481481481,0.777777778,1,-1,0.925925926,-0.666666667,1,1,-0.730769231,1,-1
0,0.925925926,-0.555555556,1,-1,0.814814815,-0.407407407,1,1,-0.653846154,1,-1
0,0.555555556,-0.555555556,1,-1,0.888888889,-0.666666667,1,1,-0.769230769,1,-1
0,0.111111111,-0.777777778,1,-1,0.888888889,-0.444444444,1,1,-0.038461538,1,-1
0,-0.481481481,0.333333333,1,-1,0.888888889,-0.518518519,1,1,-0.576923077,1,-1
0,0.555555556,-0.111111111,1,-1,0.740740741,-0.333333333,1,1,-0.384615385,1,-1
0,0.925925926,-0.555555556,1,-1,0.888888889,-0.518518519,1,1,-0.692307692,1,-1
0,0.333333333,-0.777777778,1,-1,0.925925926,-0.777777778,1,1,-0.846153846,1,-1
0,0.555555556,0.111111111,1,-1,0.777777778,-0.407407407,1,1,-0.346153846,1,-1
0,0.185185185,-0.777777778,1,-1,0.925925926,-0.666666667,1,1,-0.884615385,1,-0.999755022
0,0.777777778,-0.555555556,1,-1,0.925925926,-0.62962963,1,1,-0.692307692,1,-1
0,0.851851852,-0.333333333,1,-1,0.888888889,-0.555555556,1,1,-0.730769231,1,-1
0,0.111111111,0.111111111,1,-1,0.962962963,-0.703703704,1,1,-0.846153846,1,-1
0,0.62962963,-0.111111111,1,-1,0.666666667,-0.407407407,1,1,-0.5,1,-1
0,0.777777778,-0.777777778,1,-1,0.666666667,-0.37037037,1,1,-0.384615385,1,-1
0,0.777777778,0.333333333,1,-1,0.777777778,-0.407407407,1,1,-0.653846154,1,-1
0,0.777777778,-0.555555556,1,-1,0.851851852,-0.481481481,0.97979798,1,-0.653846154,1,-1
0,0.925925926,-0.777777778,1,-1,0.814814815,-0.444444444,1,1,-0.692307692,1,-1
0,0.925925926,0.111111111,1,-1,0.888888889,-0.481481481,1,1,-0.692307692,1,-1
0,0.407407407,0.333333333,1,-1,0.851851852,-0.481481481,1,1,-0.615384615,1,-1
0,0.925925926,-0.777777778,1,-1,0.925925926,-0.703703704,1,1,-0.807692308,1,-1
0,0.851851852,-0.777777778,1,-1,0.777777778,-0.37037037,1,1,-0.5,1,-1
0,1,0.333333333,1,-1,0.814814815,-0.481481481,1,1,-0.653846154,1,-1
0,0.925925926,-0.333333333,1,-1,0.777777778,-0.444444444,1,1,-0.807692308,1,-1
0,0.407407407,-0.111111111,1,-1,0.925925926,-0.62962963,1,1,-0.769230769,1,-1
0,0.703703704,-0.555555556,1,-1,0.814814815,-0.444444444,1,1,-0.615384615,1,-1
0,0.777777778,-0.777777778,1,-1,0.777777778,-0.37037037,1,1,-0.576923077,1,-1
0,0.481481481,-0.777777778,1,-1,0.851851852,-0.481481481,1,1,-0.730769231,1,-1
0,0.925925926,0.555555556,1,-1,0.777777778,-0.407407407,1,1,-0.615384615,1,-1
0,0.777777778,0.555555556,1,-1,0.62962963,-0.37037037,1,1,-0.461538462,1,-1
0,0.851851852,-0.555555556,1,-1,0.777777778,-0.407407407,1,1,-0.307692308,1,-1
0,0.481481481,0.333333333,1,-1,0.814814815,-0.481481481,1,1,-0.653846154,1,-1
0,0.333333333,-0.555555556,1,-1,0.851851852,-0.518518519,1,1,-0.807692308,1,-1
0,0.555555556,-0.555555556,1,-1,0.925925926,-0.592592593,1,1,-0.269230769,1,-1
0,0.851851852,0.333333333,1,-1,0.851851852,-0.444444444,1,1,-0.769230769,1,-1
0,0.777777778,-0.111111111,1,-1,0.888888889,-0.481481481,1,1,-0.692307692,1,-1
0,0.925925926,-0.555555556,1,-1,0.925925926,-0.703703704,1,1,-0.961538462,1,-1
0,0.925925926,-0.555555556,1,-1,0.888888889,-0.444444444,1,1,-0.692307692,1,-1
0,0.777777778,-0.555555556,1,-1,0.888888889,-0.481481481,0.939393939,1,-0.730769231,1,-0.999755022
0,0.111111111,-0.111111111,1,-1,0.888888889,-0.592592593,1,1,-0.615384615,1,-1
0,0.333333333,-0.111111111,1,-1,0.777777778,-0.407407407,1,1,-0.307692308,1,-1
0,0.777777778,-0.555555556,1,-1,0.851851852,-0.481481481,1,1,-0.769230769,1,-1
0,0.777777778,-0.777777778,1,-1,0.777777778,-0.37037037,1,1,-0.423076923,1,-1
0,0.851851852,-0.777777778,1,-1,0.925925926,-0.666666667,1,1,-0.730769231,1,-1
0,0.333333333,-0.777777778,1,-1,0.555555556,-0.37037037,1,1,-0.423076923,1,-1
0,0.777777778,-0.555555556,1,-1,0.888888889,-0.592592593,1,1,-0.692307692,1,-1
0,0.925925926,-0.555555556,1,-1,0.888888889,-0.555555556,0.838383838,1,-0.769230769,1,-1
0,0.555555556,0.555555556,1,-1,0.814814815,-0.666666667,1,1,-0.769230769,1,-1
0,0.111111111,-0.777777778,1,-1,0.888888889,-0.481481481,1,1,-0.807692308,1,-1
0,0.777777778,-0.777777778,1,-1,0.666666667,-0.37037037,1,1,-0.384615385,1,-1
0,0.555555556,-0.555555556,1,-1,0.814814815,-0.407407407,1,1,-0.576923077,1,-1
0,0.703703704,-0.777777778,1,-1,0.814814815,-0.407407407,1,1,-0.615384615,1,-1
0,1,-0.555555556,1,-1,0.888888889,-0.592592593,1,1,-0.615384615,1,-1
0,0.851851852,-0.555555556,1,-1,0.888888889,-0.518518519,1,1,-0.307692308,1,-1
0,0.777777778,-0.555555556,1,-1,0.925925926,-0.555555556,1,1,-0.615384615,1,-1
0,0.703703704,-0.777777778,1,-1,0.814814815,-0.444444444,1,1,-0.730769231,1,-1
0,0.481481481,-0.333333333,1,-1,0.962962963,-0.592592593,1,1,-0.576923077,1,-1
